123,82,93,125,38,20,144,63,43,6,55,74,107,64,68,32,0,8,134,75,82,56,156,55,485,102,133,133,13,26,26,103,31,10,11,54,164,29,79,164,204,1124,82,12,211,30,267,7,52,0,5,91,35,0,0,0,0,16,6,25,14,0,131,2,16,0,0,11,0,29
16,40,19,47,15,3,89,28,29,9,0,33,93,90,20,23,8,0,164,47,22,88,107,63,187,28,68,171,34,2,16,48,9,50,36,85,237,44,27,137,251,788,32,22,114,0,181,0,29,0,0,24,11,2,19,0,9,0,0,0,20,0,48,0,3,0,0,0,0,0
192,83,146,196,69,25,118,77,288,233,62,22,138,334,70,5,134,164,0,409,22,70,223,47,260,119,188,286,158,110,10,81,0,83,132,122,387,138,45,236,362,1033,73,0,255,40,331,19,57,19,46,79,88,0,40,46,18,77,18,30,82,84,129,38,40,59,83,0,18,16
63,14,32,176,18,1,56,24,87,61,4,0,40,71,0,9,75,47,409,0,27,21,86,33,126,55,142,161,128,10,5,48,28,103,27,118,135,28,29,87,198,742,31,14,194,15,212,0,27,17,39,39,5,7,28,0,0,0,52,11,0,25,91,3,2,10,6,0,2,0
27,10,26,88,66,24,89,22,16,0,81,87,7,40,87,51,82,22,22,27,0,175,324,0,523,61,1,97,44,0,27,122,27,23,9,17,150,29,18,65,128,655,18,25,191,34,123,0,25,0,0,17,4,9,0,0,0,10,0,0,0,4,39,3,0,7,33,0,0,0
71,96,22,98,110,50,45,28,24,30,92,75,30,56,121,41,56,88,70,21,175,0,448,46,474,71,46,43,23,10,8,155,51,87,18,12,79,35,6,90,118,718,16,78,192,48,134,7,112,36,13,31,52,5,23,20,5,0,15,0,0,0,49,9,29,6,48,5,34,36
305,77,29,301,197,34,163,139,85,0,219,79,79,130,241,159,156,107,223,86,324,448,0,94,1735,439,121,74,41,15,80,128,106,83,0,94,248,121,121,269,283,833,95,48,289,40,206,76,41,0,27,70,54,53,12,23,0,0,17,0,39,71,75,46,6,71,35,34,0,15
38,6,0,109,0,24,34,0,0,0,0,11,0,21,28,14,55,63,47,33,0,46,94,0,250,68,112,59,14,8,15,29,14,29,11,61,127,29,34,152,210,637,15,4,74,0,154,25,26,0,0,25,12,18,3,0,0,16,0,0,4,0,14,13,0,0,13,27,11,0
482,109,110,456,448,280,352,203,201,126,595,251,335,216,399,358,485,187,260,126,523,474,1735,250,0,627,351,336,102,42,149,333,263,185,47,241,274,238,240,237,170,855,176,177,201,75,116,77,140,34,195,96,121,37,70,105,19,57,29,17,91,70,20,101,124,107,53,83,71,89
89,36,51,31,13,44,73,52,65,52,32,40,15,45,64,15,102,28,119,55,61,71,439,68,627,0,183,122,31,54,12,98,54,27,26,81,215,105,74,120,341,701,68,42,178,7,128,7,97,18,0,55,14,9,0,0,27,15,5,25,0,0,81,24,8,25,31,13,0,0
54,42,76,73,56,39,42,108,124,34,27,64,137,70,26,25,133,68,188,142,1,46,121,112,351,183,0,285,63,44,53,140,77,32,47,77,305,40,30,205,244,913,96,39,178,67,171,1,54,0,16,141,20,25,41,38,4,37,54,44,31,30,98,5,2,19,0,58,47,14
52,103,121,119,52,0,88,103,198,107,13,19,115,178,12,26,133,171,286,161,97,43,74,59,336,122,285,0,126,50,11,126,82,37,16,167,376,44,73,159,452,1110,46,41,321,19,370,31,88,24,72,75,107,54,14,41,15,7,0,48,35,29,51,12,35,0,41,10,27,14
115,4,68,91,19,26,20,47,122,32,0,11,44,85,16,0,13,34,158,128,44,23,41,14,102,31,63,126,0,247,10,122,14,87,210,95,380,71,26,216,557,1276,85,1,296,18,205,16,104,42,25,86,31,51,27,6,46,35,4,86,13,4,110,25,0,0,6,29,8,17
