156,147,124,170,107,40,73,301,202,90,208,173,103,110,140,0,1769,159,160,68,315,143,166,77,69,660,255,1294,103,94,144,257,7,79,41,94,75,49,48,56,37,5,30,15,88
1053,374,243,604,726,286,345,1025,804,541,640,853,649,294,695,1769,0,1333,615,448,635,393,444,200,511,1415,699,1396,225,418,183,322,283,254,277,266,292,256,166,175,172,112,92,63,95
137,85,104,52,143,120,124,63,167,114,83,73,264,63,373,159,1333,0,402,121,223,281,116,146,112,713,576,1158,46,165,92,220,38,84,39,75,132,28,166,23,74,52,51,104,102
116,117,218,41,230,267,208,32,207,307,19,134,202,204,578,160,615,402,0,87,203,399,127,222,146,842,762,1370,76,156,115,449,67,100,47,41,51,102,105,118,69,28,53,72,128
27,0,69,7,55,18,28,47,76,22,11,53,60,25,43,68,448,121,87,0,163,131,62,24,127,536,294,1005,81,125,20,153,44,39,27,54,9,33,1,34,8,21,44,29,119
156,127,152,54,125,220,82,78,166,199,117,126,90,62,195,315,635,223,203,163,0,259,141,206,217,1182,672,1514,233,217,197,241,126,92,81,41,26,57,77,59,73,33,110,95,77
228,83,134,70,225,201,199,113,245,289,26,98,197,148,452,143,393,281,399,131,259,0,641,369,91,1380,1033,1660,177,212,129,321,134,160,76,154,136,244,195,155,172,92,128,61,138
62,152,87,28,150,57,164,57,105,141,31,34,87,86,350,166,444,116,127,62,141,641,0,409,82,864,926,1749,25,103,51,396,101,137,24,89,96,31,52,31,74,23,73,56,160
119,38,70,19,144,138,100,20,53,107,16,3,60,36,406,77,200,146,222,24,206,369,409,0,40,1039,895,2012,25,143,66,268,29,85,25,33,66,67,98,45,78,46,52,90,226
64,100,19,49,84,0,23,21,94,51,63,68,94,27,74,69,511,112,146,127,217,91,82,40,0,953,449,1084,128,246,168,272,98,74,66,0,91,24,23,36,38,16,47,13,67
935,480,634,237,625,634,681,712,1164,801,318,499,741,300,966,660,1415,713,842,536,1182,1380,864,1039,953,0,2273,3397,469,1375,968,694,723,1010,736,705,1000,767,678,774,516,515,628,382,170
516,397,616,239,531,557,335,503,604,586,78,233,356,403,738,255,699,576,762,294,672,1033,926,895,449,2273,0,2242,376,511,404,437,435,534,228,411,537,618,381,437,411,348,554,397,211
1329,831,882,472,902,913,1098,1083,1455,1431,275,767,1045,775,1694,1294,1396,1158,1370,1005,1514,1660,1749,2012,1084,3397,2242,0,884,1048,1371,448,1124,1783,960,1060,1788,1613,1127,1128,695,872,1177,543,59
57,16,1,18,5,8,0,13,67,38,39,23,16,22,14,103,225,46,76,81,233,177,25,25,128,469,376,884,0,217,123,208,113,29,51,3,67,30,26,7,13,5,0,17,68
97,156,69,61,69,81,48,84,74,63,26,73,82,48,218,94,418,165,156,125,217,212,103,143,246,1375,511,1048,217,0,281,247,159,173,248,78,258,128,113,200,140,79,98,34,70
61,19,0,18,126,46,31,46,13,23,7,55,29,9,110,144,183,92,115,20,197,129,51,66,168,968,404,1371,123,281,0,468,159,431,337,400,181,75,51,71,87,4,59,82,127
461,230,224,149,404,235,349,240,313,265,87,249,309,181,543,257,322,220,449,153,241,321,396,268,272,694,437,448,208,247,468,0,231,800,453,656,868,511,350,564,400,445,644,645,180
75,11,57,9,24,45,4,33,52,25,3,42,43,20,101,7,283,38,67,44,126,134,101,29,98,723,435,1124,113,159,159,231,0,106,256,156,267,46,17,30,48,15,54,95,194
75,37,30,34,61,21,23,24,50,40,66,44,26,20,138,79,254,84,100,39,92,160,137,85,74,1010,534,1783,29,173,431,800,106,0,200,294,444,144,93,77,74,76,92,49,441
7,53,10,9,8,0,5,5,9,3,12,2,29,3,83,41,277,39,47,27,81,76,24,25,66,736,228,960,51,248,337,453,256,200,0,244,171,28,79,41,44,0,20,28,143
61,55,26,26,90,34,0,30,53,40,0,10,13,0,158,94,266,75,41,54,41,154,89,33,0,705,411,1060,3,78,400,656,156,294,244,0,426,56,24,45,105,26,27,66,279
48,22,0,4,96,80,8,37,90,49,5,35,67,0,36,75,292,132,51,9,26,136,96,66,91,1000,537,1788,67,258,181,868,267,444,171,426,0,39,90,23,42,83,76,97,444
25,18,0,0,47,11,17,0,66,17,1,0,5,0,121,49,256,28,102,33,57,244,31,67,24,767,618,1613,30,128,75,511,46,144,28,56,39,0,595,636,180,89,82,109,346
20,40,37,18,114,64,19,33,51,67,9,17,110,24,118,48,166,166,105,1,77,195,52,98,23,678,381,1127,26,113,51,350,17,93,79,24,90,595,0,597,176,276,182,276,201
14,59,32,6,85,49,25,7,106,15,0,33,26,11,93,56,175,23,118,34,59,155,31,45,36,774,437,1128,7,200,71,564,30,77,41,45,23,636,597,0,230,308,303,195,167
42,6,26,9,53,74,5,43,55,45,0,3,21,21,75,37,172,74,69,8,73,172,74,78,38,516,411,695,13,140,87,400,48,74,44,105,42,180,176,230,0,65,144,125,223
43,22,24,3,5,20,24,4,14,15,21,11,0,9,57,5,112,52,28,21,33,92,23,46,16,515,348,872,5,79,4,445,15,76,0,26,83,89,276,308,65,0,155,74,277
25,14,7,0,26,25,22,3,26,0,0,16,16,0,84,30,92,51,53,44,110,128,73,52,47,628,554,1177,0,98,59,644,54,92,20,27,76,82,182,303,144,155,0,245,280
28,78,39,11,33,20,45,22,38,69,16,6,25,0,111,15,63,104,72,29,95,61,56,90,13,382,397,543,17,34,82,645,95,49,28,66,97,109,276,195,125,74,245,0,329
128,150,110,75,116,136,91,39,194,116,28,125,73,48,220,88,95,102,128,119,77,138,160,226,67,170,211,59,68,70,127,180,194,441,143,279,444,346,201,167,223,277,280,329,0
