0,0,1,15,0,18,61,48,3,0,0,3,45,29,54,14,11,32,5,0,0,0,0,0,95,0,29,0,21,33,0,33,13,0,58,81,34,18,109,0,0,86,0,0,0,24,0,23,12,12,18,0,41,23,5,15,81,16,25,0,31,104,122,0,10,360,0,12,112,2,3,5,91,3,23,0,15,0,0,0,21,0,0,0,0,47,0,3,0,7,0,0,0,0,0,0,0,0,18,0
7,0,0,29,2,25,30,74,0,5,6,0,3,0,24,51,21,36,0,6,0,5,2,14,33,8,0,21,0,18,29,11,8,0,29,135,38,24,83,0,12,108,8,26,7,27,14,22,24,28,4,0,44,10,0,2,30,9,62,0,49,80,221,0,28,523,0,23,139,0,0,0,113,14,0,0,0,0,0,0,24,0,0,7,14,32,0,0,0,0,11,14,0,0,13,0,11,0,17,0
1,0,1,0,0,12,0,21,0,4,0,0,25,0,24,32,6,62,5,0,0,0,0,0,57,20,4,33,18,0,11,61,42,21,61,199,33,32,101,12,21,83,0,23,29,22,4,45,13,15,0,16,29,19,22,0,104,15,35,0,13,132,127,17,0,595,0,18,119,0,31,0,174,0,0,0,9,0,0,0,0,0,8,0,0,49,5,0,0,0,0,0,0,0,4,0,20,0,8,0
3,24,10,0,14,12,53,35,54,12,24,8,8,14,8,0,0,67,0,87,43,75,50,74,355,22,7,0,29,11,0,93,28,0,22,22,27,175,430,56,5,80,18,0,0,44,0,23,0,77,5,27,56,9,17,0,75,20,55,22,33,65,128,3,7,655,18,51,158,34,0,4,123,0,21,0,0,0,0,17,0,4,0,9,0,39,4,3,0,7,33,0,0,10,0,0,0,0,0,0
112,64,42,55,0,24,89,195,74,35,94,18,58,40,39,18,0,85,42,23,90,117,71,165,786,59,30,33,11,61,93,0,211,53,79,103,45,172,1044,222,101,55,16,71,13,40,0,103,36,118,52,38,127,0,54,13,55,38,116,30,99,236,253,78,34,1129,3,125,195,43,15,24,228,43,36,0,0,0,35,34,41,29,33,19,9,42,30,58,2,36,0,43,10,17,31,0,10,32,14,22
15,4,22,41,23,25,24,60,11,1,20,0,51,6,31,2,3,20,28,11,12,43,52,30,104,48,49,13,8,42,28,211,0,15,42,87,66,57,180,98,16,98,31,58,12,2,26,23,21,16,45,0,45,12,21,12,102,3,53,0,71,154,166,62,16,894,0,27,207,15,4,10,204,0,4,14,0,5,0,6,101,1,13,18,0,64,0,13,16,0,0,0,0,13,0,0,25,27,11,29
22,7,6,0,0,0,61,10,0,0,24,0,0,0,0,0,0,0,0,0,0,0,9,14,19,0,0,0,0,21,0,53,15,0,23,24,18,18,82,13,30,65,8,49,0,12,8,16,39,8,0,15,21,7,8,14,9,0,37,0,20,84,157,12,0,332,0,13,26,0,0,0,105,25,22,4,0,0,0,0,3,12,0,0,3,9,0,0,0,0,13,0,0,3,0,0,0,0,0,0
16,0,9,31,19,0,14,33,0,15,3,2,7,21,27,5,4,70,23,10,0,0,20,9,108,19,35,58,29,61,22,79,42,23,0,164,47,88,127,21,7,172,32,35,11,23,2,50,71,32,9,16,30,36,0,14,63,18,156,0,39,137,251,35,19,788,3,31,98,0,0,9,181,0,20,20,0,0,0,13,11,0,11,2,19,48,0,0,3,0,0,0,0,0,0,9,0,0,0,0
88,104,57,26,96,50,78,118,19,50,25,140,32,45,148,132,101,72,0,22,39,87,6,75,189,46,57,81,135,199,22,103,87,24,164,0,409,70,191,53,66,203,144,127,37,121,110,83,114,17,0,10,116,132,5,3,136,77,174,0,102,236,362,87,0,1033,0,86,184,36,4,47,331,19,10,82,19,0,46,19,60,78,10,0,40,129,84,38,40,59,83,39,7,77,18,18,30,0,18,16
27,36,14,0,20,12,60,116,0,18,1,21,0,24,66,27,34,48,0,0,0,4,0,24,88,8,6,34,38,33,27,45,66,18,47,409,0,21,88,12,43,133,98,72,23,105,10,103,104,15,28,5,47,27,0,14,81,0,54,0,43,87,198,10,0,742,14,64,151,15,0,8,212,0,19,0,17,39,0,11,28,0,5,7,28,91,25,3,2,10,6,0,0,0,52,0,11,0,2,0
