         211828 function calls (211189 primitive calls) in 2.652 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 blocks.py:2374(__init__)
       23    0.000    0.000    0.000    0.000 blocks.py:2655(get_block_type)
        3    0.000    0.000    0.000    0.000 blocks.py:2701(make_block)
        1    0.000    0.000    0.000    0.000 blocks.py:311(shape)
        1    0.000    0.000    0.000    0.000 blocks.py:315(dtype)
        1    0.000    0.000    0.001    0.001 bucket_elimination.py:10(__init__)
        1    0.000    0.000    0.026    0.026 bucket_elimination.py:13(run)
       19    0.000    0.000    0.000    0.000 bucket_elimination.py:25(<listcomp>)
       19    0.000    0.000    0.000    0.000 bucket_elimination.py:61(get_bucket_size)
        1    0.000    0.000    0.225    0.225 bucket_renormalization.py:12(__init__)
        1    0.000    0.000    0.027    0.027 bucket_renormalization.py:16(initialize_projectors)
       10    0.000    0.000    0.000    0.000 bucket_renormalization.py:41(optimize)
        1    0.000    0.000    0.027    0.027 bucket_renormalization.py:59(run)
        1    0.000    0.000    0.027    0.027 bucket_renormalization.py:65(get_logZ)
       21    0.000    0.000    0.000    0.000 cast.py:1185(maybe_castable)
       20    0.000    0.000    0.000    0.000 cast.py:1199(maybe_infer_to_datetimelike)
       22    0.000    0.000    0.000    0.000 cast.py:1308(maybe_cast_to_datetime)
        3    0.000    0.000    0.000    0.000 cast.py:1568(construct_1d_object_array_from_listlike)
       20    0.000    0.000    0.000    0.000 cast.py:1593(construct_1d_ndarray_preserving_na)
        1    0.000    0.000    0.000    0.000 cast.py:1628(maybe_cast_to_integer_array)
      104    0.000    0.000    0.000    0.000 cloudpickle.py:126(_whichmodule)
      104    0.000    0.000    0.002    0.000 cloudpickle.py:169(_is_importable)
      104    0.000    0.000    0.001    0.000 cloudpickle.py:189(_lookup_module_and_qualname)
       80    0.000    0.000    0.001    0.000 cloudpickle_fast.py:389(_class_reduce)
       24    0.000    0.000    0.000    0.000 cloudpickle_fast.py:511(_function_reduce)
       16    0.000    0.000    0.007    0.000 cloudpickle_fast.py:561(dump)
       16    0.001    0.000    0.001    0.000 cloudpickle_fast.py:595(__init__)
      264    0.001    0.000    0.003    0.000 cloudpickle_fast.py:607(reducer_override)
       10    0.000    0.000    0.000    0.000 common.py:1025(is_datetime_or_timedelta_dtype)
        2    0.000    0.000    0.000    0.000 common.py:1123(is_datetimelike_v_numeric)
       10    0.000    0.000    0.000    0.000 common.py:1180(needs_i8_conversion)
        1    0.000    0.000    0.000    0.000 common.py:1265(is_string_like_dtype)
        1    0.000    0.000    0.000    0.000 common.py:1293(<lambda>)
        3    0.000    0.000    0.000    0.000 common.py:1296(is_float_dtype)
        3    0.000    0.000    0.000    0.000 common.py:1330(is_bool_dtype)
        1    0.000    0.000    0.000    0.000 common.py:140(is_fsspec_url)
      144    0.000    0.000    0.000    0.000 common.py:1460(is_extension_array_dtype)
       20    0.000    0.000    0.000    0.000 common.py:149(cast_scalar_indexer)
        2    0.000    0.000    0.000    0.000 common.py:150(ensure_python_int)
        2    0.000    0.000    0.000    0.000 common.py:1509(is_complex_dtype)
        1    0.000    0.000    0.000    0.000 common.py:152(get_filepath_or_buffer)
        6    0.000    0.000    0.000    0.000 common.py:1541(_is_dtype)
       15    0.000    0.000    0.000    0.000 common.py:1565(_get_dtype)
      138    0.000    0.000    0.000    0.000 common.py:1600(_is_dtype_type)
       28    0.000    0.000    0.000    0.000 common.py:1733(pandas_dtype)
       88    0.000    0.000    0.000    0.000 common.py:178(classes)
       88    0.000    0.000    0.000    0.000 common.py:180(<lambda>)
       50    0.000    0.000    0.000    0.000 common.py:183(classes_and_not_datetimelike)
       50    0.000    0.000    0.000    0.000 common.py:188(<lambda>)
        1    0.000    0.000    0.000    0.000 common.py:190(all_none)
        2    0.000    0.000    0.000    0.000 common.py:194(<genexpr>)
       67    0.000    0.000    0.000    0.000 common.py:194(is_object_dtype)
        2    0.000    0.000    0.000    0.000 common.py:218(asarray_tuplesafe)
       23    0.000    0.000    0.000    0.000 common.py:224(is_sparse)
        1    0.000    0.000    0.000    0.000 common.py:274(maybe_iterable_to_list)
        1    0.000    0.000    0.000    0.000 common.py:302(infer_compression)
        4    0.000    0.000    0.000    0.000 common.py:348(is_datetime64_dtype)
       35    0.000    0.000    0.000    0.000 common.py:381(is_datetime64tz_dtype)
       12    0.000    0.000    0.000    0.000 common.py:422(is_timedelta64_dtype)
       44    0.000    0.000    0.000    0.000 common.py:456(is_period_dtype)
        1    0.000    0.000    0.000    0.000 common.py:49(is_url)
       34    0.000    0.000    0.000    0.000 common.py:492(is_interval_dtype)
       94    0.000    0.000    0.000    0.000 common.py:530(is_categorical_dtype)
        5    0.000    0.000    0.000    0.000 common.py:566(is_string_dtype)
        5    0.000    0.000    0.000    0.000 common.py:595(condition)
        1    0.000    0.000    0.000    0.000 common.py:598(is_excluded_dtype)
        4    0.000    0.000    0.000    0.000 common.py:603(<genexpr>)
        3    0.000    0.000    0.000    0.000 common.py:608(is_dtype_equal)
        3    0.000    0.000    0.000    0.000 common.py:67(_expand_user)
       43    0.000    0.000    0.000    0.000 common.py:696(is_integer_dtype)
        5    0.000    0.000    0.000    0.000 common.py:750(is_signed_integer_dtype)
        2    0.000    0.000    0.000    0.000 common.py:806(is_unsigned_integer_dtype)
        1    0.000    0.000    0.000    0.000 common.py:88(validate_header_arg)
       10    0.000    0.000    0.000    0.000 common.py:905(is_datetime64_any_dtype)
        2    0.000    0.000    0.000    0.000 common.py:97(stringify_path)
        6    0.000    0.000    0.000    0.000 connection.py:117(__init__)
       48    0.000    0.000    0.000    0.000 connection.py:134(_check_closed)
       16    0.000    0.000    0.000    0.000 connection.py:142(_check_writable)
       32    0.000    0.000    0.000    0.000 connection.py:158(readable)
       32    0.000    0.000    0.000    0.000 connection.py:163(writable)
       32    0.000    0.000    0.000    0.000 connection.py:168(fileno)
       16    0.000    0.000    0.000    0.000 connection.py:181(send_bytes)
       16    0.000    0.000    0.000    0.000 connection.py:365(_send)
       16    0.000    0.000    0.000    0.000 connection.py:390(_send_bytes)
        3    0.000    0.000    0.000    0.000 connection.py:516(Pipe)
        1    0.000    0.000    0.002    0.002 construction.py:237(init_dict)
        1    0.000    0.000    0.001    0.001 construction.py:329(_homogenize)
       23    0.000    0.000    0.000    0.000 construction.py:339(extract_array)
       22    0.000    0.000    0.001    0.000 construction.py:390(sanitize_array)
       22    0.000    0.000    0.000    0.000 construction.py:520(_try_cast)
        4    0.000    0.000    0.000    0.000 construction.py:580(is_empty_data)
        1    0.000    0.000    0.001    0.001 construction.py:60(arrays_to_mgr)
        1    0.000    0.000    0.000    0.000 construction.py:600(create_series_with_explicit_dtype)
        2    0.000    0.000    0.000    0.000 context.py:110(cpu_count)
        2    0.000    0.000    0.000    0.000 context.py:169(_cpu_count_user)
        1    0.000    0.000    0.000    0.000 context.py:187(get_context)
        1    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        1    0.000    0.000    0.000    0.000 context.py:213(_check_available)
        2    0.000    0.000    0.000    0.000 context.py:233(get_context)
        9    0.000    0.000    0.003    0.000 context.py:319(BoundedSemaphore)
        5    0.000    0.000    0.002    0.000 context.py:324(Lock)
      112    0.000    0.000    0.000    0.000 context.py:351(get_spawning_popen)
       16    0.000    0.000    0.000    0.000 context.py:354(set_spawning_popen)
       72    0.000    0.000    0.000    0.000 context.py:357(assert_spawning)
        3    0.000    0.000    0.000    0.000 context.py:41(cpu_count)
        1    0.000    0.000    0.000    0.000 context.py:41(get_context)
        1    0.000    0.000    0.000    0.000 context.py:60(Pipe)
        1    0.000    0.000    0.000    0.000 contextlib.py:108(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:117(__exit__)
        1    0.000    0.000    0.000    0.000 contextlib.py:238(helper)
        1    0.000    0.000    0.000    0.000 contextlib.py:82(__init__)
     1066    0.000    0.000    0.000    0.000 copy.py:107(_copy_immutable)
     2196    0.001    0.000    0.001    0.000 copy.py:66(copy)
        2    0.000    0.000    0.000    0.000 copyreg.py:99(_slotnames)
        1    0.000    0.000    0.000    0.000 disk.py:42(memstr_to_bytes)
       29    0.000    0.000    0.000    0.000 dtypes.py:1116(is_dtype)
       39    0.000    0.000    0.000    0.000 dtypes.py:903(is_dtype)
        4    0.000    0.000    0.000    0.000 enum.py:283(__call__)
        4    0.000    0.000    0.000    0.000 enum.py:562(__new__)
        1    0.000    0.000    0.012    0.012 executor.py:19(get_memmapping_executor)
        1    0.000    0.000    0.012    0.012 executor.py:25(get_memmapping_executor)
       38    0.000    0.000    0.036    0.001 factor.py:131(marginalize)
       38    0.000    0.000    0.000    0.000 factor.py:139(<listcomp>)
       38    0.000    0.000    0.000    0.000 factor.py:142(<listcomp>)
       38    0.000    0.000    0.000    0.000 factor.py:143(<listcomp>)
      208    0.028    0.000    0.044    0.000 factor.py:240(product)
      208    0.000    0.000    0.044    0.000 factor.py:338(__mul__)
     8256    0.002    0.000    0.002    0.000 factor.py:353(__eq__)
       38    0.023    0.001    0.035    0.001 factor.py:373(logsumexp)
      246    0.000    0.000    0.000    0.000 factor.py:391(default_factor_name)
       57    0.000    0.000    0.047    0.001 factor.py:407(product_over_)
       57    0.000    0.000    0.000    0.000 factor.py:408(<listcomp>)
      207    0.000    0.000    0.044    0.000 factor.py:410(<lambda>)
     6660    0.001    0.000    0.001    0.000 factor.py:52(log_values)
     3748    0.001    0.000    0.001    0.000 factor.py:56(log_values)
       20    0.000    0.000    0.000    0.000 factor.py:72(scalar)
      153    0.000    0.000    0.000    0.000 factor.py:79(get_cardinalities_for_)
     1334    0.002    0.000    0.002    0.000 factor.py:8(__init__)
      153    0.000    0.000    0.000    0.000 factor.py:80(<listcomp>)
     1104    0.002    0.000    0.024    0.000 factor.py:82(copy)
        9    0.000    0.000    0.052    0.006 fork_exec.py:36(fork_exec)
        1    0.000    0.000    0.000    0.000 fork_exec.py:7(<module>)
        1    0.000    0.000    0.002    0.002 frame.py:441(__init__)
       38    0.000    0.000    0.000    0.000 fromnumeric.py:1424(_squeeze_dispatcher)
       38    0.000    0.000    0.000    0.000 fromnumeric.py:1428(squeeze)
      153    0.000    0.000    0.000    0.000 fromnumeric.py:1701(_ravel_dispatcher)
      153    0.000    0.000    0.001    0.000 fromnumeric.py:1705(ravel)
       38    0.000    0.000    0.000    0.000 fromnumeric.py:2100(_sum_dispatcher)
       38    0.000    0.000    0.007    0.000 fromnumeric.py:2105(sum)
       76    0.000    0.000    0.000    0.000 fromnumeric.py:2584(_amax_dispatcher)
       76    0.000    0.000    0.006    0.000 fromnumeric.py:2589(amax)
      114    0.000    0.000    0.013    0.000 fromnumeric.py:70(_wrapreduction)
      114    0.000    0.000    0.000    0.000 fromnumeric.py:71(<dictcomp>)
       19    0.000    0.000    0.000    0.000 fromnumeric.py:835(_sort_dispatcher)
       19    0.000    0.000    0.000    0.000 fromnumeric.py:839(sort)
        1    0.000    0.000    0.000    0.000 function.py:48(__call__)
      153    0.000    0.000    0.000    0.000 function_base.py:4612(_append_dispatcher)
      153    0.000    0.000    0.002    0.000 function_base.py:4616(append)
     1104    0.000    0.000    0.000    0.000 function_base.py:710(_copy_dispatcher)
     1104    0.000    0.000    0.017    0.000 function_base.py:714(copy)
       16    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
       16    0.000    0.000    0.000    0.000 functools.py:64(wraps)
      819    0.000    0.000    0.000    0.000 generic.py:10(_check)
        1    0.000    0.000    0.000    0.000 generic.py:11556(logical_func)
        4    0.000    0.000    0.000    0.000 generic.py:195(__init__)
        1    0.000    0.000    0.000    0.000 generic.py:232(attrs)
        2    0.000    0.000    0.000    0.000 generic.py:249(_validate_dtype)
        1    0.000    0.000    0.000    0.000 generic.py:334(_construct_axes_from_arguments)
        1    0.000    0.000    0.000    0.000 generic.py:362(<dictcomp>)
        2    0.000    0.000    0.000    0.000 generic.py:365(_get_axis_number)
        1    0.000    0.000    0.000    0.000 generic.py:377(_get_axis)
        1    0.000    0.000    0.000    0.000 generic.py:4214(reindex)
        2    0.000    0.000    0.000    0.000 generic.py:4447(<genexpr>)
        1    0.000    0.000    0.000    0.000 generic.py:5095(__finalize__)
        3    0.000    0.000    0.000    0.000 generic.py:5123(__getattr__)
        5    0.000    0.000    0.000    0.000 generic.py:5141(__setattr__)
        2    0.000    0.000    0.000    0.000 generic.py:5197(_protect_consolidate)
        2    0.000    0.000    0.000    0.000 generic.py:5208(_consolidate_inplace)
        2    0.000    0.000    0.000    0.000 generic.py:5211(f)
        1    0.000    0.000    0.000    0.000 generic.py:5268(values)
        1    0.000    0.000    0.000    0.000 generic.py:7060(isna)
        5    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        6    0.000    0.000    0.010    0.002 graphical_model.py:114(copy)
        6    0.000    0.000    0.009    0.001 graphical_model.py:115(<listcomp>)
       39    0.000    0.000    0.000    0.000 graphical_model.py:24(add_variable)
        1    0.000    0.000    0.000    0.000 graphical_model.py:27(add_variables_from)
       58    0.000    0.000    0.000    0.000 graphical_model.py:31(remove_variable)
       38    0.000    0.000    0.048    0.001 graphical_model.py:51(contract_variable)
       77    0.000    0.000    0.000    0.000 graphical_model.py:67(get_adj_factors)
        7    0.000    0.000    0.001    0.000 graphical_model.py:8(__init__)
      914    0.001    0.000    0.002    0.000 graphical_model.py:82(add_factor)
      264    0.000    0.000    0.003    0.000 graphical_model.py:91(remove_factor)
        1    0.000    0.000    0.000    0.000 graphical_model.py:94(remove_factors_from)
       38    0.000    0.000    0.000    0.000 graphical_model.py:98(get_factor)
        3    0.000    0.000    0.000    0.000 inference.py:263(is_dict_like)
        9    0.000    0.000    0.000    0.000 inference.py:289(<genexpr>)
       18    0.000    0.000    0.000    0.000 inference.py:322(is_hashable)
        1    0.000    0.000    0.000    0.000 inference.py:96(is_file_like)
        1    0.000    0.000    0.000    0.000 logger.py:23(_squeeze_time)
        1    0.000    0.000    0.000    0.000 logger.py:39(short_format_time)
        1    0.000    0.000    0.000    0.000 managers.py:132(__init__)
        1    0.000    0.000    0.000    0.000 managers.py:138(<listcomp>)
        2    0.000    0.000    0.000    0.000 managers.py:1532(__init__)
        2    0.000    0.000    0.000    0.000 managers.py:1564(from_array)
        5    0.000    0.000    0.000    0.000 managers.py:1575(_block)
        5    0.000    0.000    0.000    0.000 managers.py:1613(internal_values)
        1    0.000    0.000    0.000    0.000 managers.py:1621(is_consolidated)
        1    0.000    0.000    0.001    0.001 managers.py:1675(create_block_manager_from_arrays)
        3    0.000    0.000    0.000    0.000 managers.py:1680(<genexpr>)
        1    0.000    0.000    0.001    0.001 managers.py:1715(form_blocks)
        1    0.000    0.000    0.000    0.000 managers.py:1827(_multi_blockify)
       20    0.000    0.000    0.000    0.000 managers.py:1830(<lambda>)
        1    0.000    0.000    0.000    0.000 managers.py:1843(_stack_arrays)
       20    0.000    0.000    0.000    0.000 managers.py:1846(_asarray_compat)
        1    0.000    0.000    0.000    0.000 managers.py:1852(_shape_compat)
        1    0.000    0.000    0.000    0.000 managers.py:212(shape)
