         4980843980 function calls (4980842900 primitive calls) in 3733.126 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.028    0.028    1.103    1.103 belief_propagation.py:80(get_logZ)
       11    9.881    0.898 3667.825  333.439 belief_propagation.py:90(_update_messages)
        1    0.000    0.000    0.000    0.000 blocks.py:161(external_values)
        5    0.000    0.000    0.000    0.000 blocks.py:165(internal_values)
        1    0.000    0.000    0.000    0.000 blocks.py:175(get_values)
        9    0.000    0.000    0.000    0.000 blocks.py:195(mgr_locs)
        3    0.000    0.000    0.000    0.000 blocks.py:199(mgr_locs)
        1    0.000    0.000    0.000    0.000 blocks.py:2626(__init__)
      126    0.001    0.000    0.007    0.000 blocks.py:3034(get_block_type)
        1    0.000    0.000    0.000    0.000 blocks.py:304(shape)
        2    0.000    0.000    0.000    0.000 blocks.py:308(dtype)
        3    0.000    0.000    0.001    0.000 blocks.py:3080(make_block)
        1    0.000    0.000    0.000    0.000 blocks.py:312(ftype)
        3    0.000    0.000    0.000    0.000 blocks.py:78(__init__)
        3    0.000    0.000    0.000    0.000 blocks.py:89(_check_ndim)
        3    0.001    0.000    0.001    0.000 cast.py:1193(construct_1d_object_array_from_listlike)
      123    0.000    0.000    0.000    0.000 cast.py:1218(construct_1d_ndarray_preserving_na)
      124    0.001    0.000    0.002    0.000 cast.py:832(maybe_castable)
      123    0.000    0.000    0.003    0.000 cast.py:846(maybe_infer_to_datetimelike)
      125    0.001    0.000    0.004    0.000 cast.py:953(maybe_cast_to_datetime)
        4    0.000    0.000    0.000    0.000 common.py:1078(is_datetime64_any_dtype)
        1    0.000    0.000    0.000    0.000 common.py:112(_validate_header_arg)
      405    0.000    0.000    0.000    0.000 common.py:117(classes)
      405    0.000    0.000    0.000    0.000 common.py:119(<lambda>)
        8    0.000    0.000    0.000    0.000 common.py:1198(is_datetime_or_timedelta_dtype)
        2    0.000    0.000    0.002    0.001 common.py:120(_stringify_path)
      253    0.000    0.000    0.000    0.000 common.py:122(classes_and_not_datetimelike)
      253    0.000    0.000    0.000    0.000 common.py:127(<lambda>)
      375    0.001    0.000    0.002    0.000 common.py:131(is_object_dtype)
        2    0.000    0.000    0.000    0.000 common.py:1320(is_datetimelike_v_numeric)
        7    0.000    0.000    0.000    0.000 common.py:1431(needs_i8_conversion)
      123    0.000    0.000    0.000    0.000 common.py:144(cast_scalar_indexer)
        1    0.000    0.000    0.000    0.000 common.py:1513(is_string_like_dtype)
        1    0.000    0.000    0.000    0.000 common.py:1542(<lambda>)
        3    0.000    0.000    0.000    0.000 common.py:1545(is_float_dtype)
        2    0.000    0.000    0.000    0.000 common.py:1578(is_bool_dtype)
      249    0.001    0.000    0.001    0.000 common.py:160(is_sparse)
