         31511131 function calls (31313021 primitive calls) in 76.056 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 common.py:1542(<lambda>)
        3    0.000    0.000    0.000    0.000 common.py:1545(is_float_dtype)
        2    0.000    0.000    0.000    0.000 common.py:1578(is_bool_dtype)
      249    0.001    0.000    0.001    0.000 common.py:160(is_sparse)
        1    0.000    0.000    0.000    0.000 common.py:163(is_s3_url)
      123    0.000    0.000    0.004    0.000 common.py:1643(is_extension_type)
      386    0.001    0.000    0.002    0.000 common.py:1702(is_extension_array_dtype)
        1    0.000    0.000    0.000    0.000 common.py:171(is_gcs_url)
        1    0.000    0.000    0.000    0.000 common.py:175(_all_none)
        2    0.000    0.000    0.000    0.000 common.py:1752(is_complex_dtype)
        7    0.000    0.000    0.000    0.000 common.py:1784(_is_dtype)
        1    0.000    0.000    0.001    0.001 common.py:179(get_filepath_or_buffer)
       15    0.000    0.000    0.000    0.000 common.py:1809(_get_dtype)
      658    0.001    0.000    0.002    0.000 common.py:1845(_is_dtype_type)
      154    0.000    0.000    0.000    0.000 common.py:1981(pandas_dtype)
        2    0.000    0.000    0.000    0.000 common.py:222(asarray_tuplesafe)
        1    0.000    0.000    0.001    0.001 common.py:260(_infer_compression)
      249    0.000    0.000    0.003    0.000 common.py:262(is_categorical)
       10    0.000    0.000    0.000    0.000 common.py:403(is_datetime64_dtype)
      265    0.000    0.000    0.002    0.000 common.py:434(is_datetime64tz_dtype)
        7    0.000    0.000    0.000    0.000 common.py:472(is_timedelta64_dtype)
      138    0.000    0.000    0.001    0.000 common.py:503(is_period_dtype)
      134    0.000    0.000    0.001    0.000 common.py:536(is_interval_dtype)
      626    0.001    0.000    0.006    0.000 common.py:572(is_categorical_dtype)
        6    0.000    0.000    0.000    0.000 common.py:605(is_string_dtype)
        6    0.000    0.000    0.000    0.000 common.py:634(condition)
        1    0.000    0.000    0.000    0.000 common.py:702(is_datetimelike)
        3    0.000    0.000    0.000    0.000 common.py:746(is_dtype_equal)
        1    0.000    0.000    0.000    0.000 common.py:76(_is_url)
      248    0.000    0.000    0.001    0.000 common.py:868(is_integer_dtype)
        3    0.000    0.000    0.000    0.000 common.py:923(is_signed_integer_dtype)
        3    0.000    0.000    0.000    0.000 common.py:94(_expand_user)
