9,2,9,0,2051,3,0,2215,22,7,34,1,219,113,156,4,18,28,6,540,8,26,22,16,19,0,7,57,13,84,537,46,2,15,13,47647,101,102,8,6,592,14,166,28,803,271,1,9,4,109,3,111,4,64,1,36,1,92,3015,21,4,6,4,12,61,1,238,363,65,30,553,42
173,65,146,43,1012,23,10,180,408,3859,149,6,892,115,63,32,198,564,21,195,145,65,64,33,21,163,75,142,105,95,45,302,11,1899,6496,134,110471,80,40,12,635,96,164,1876,740,117,11,66,44,4947,353,125,16,186,58,129,39,1658,186,169,2104,52,40,768,104,29,262,563,550,173,670,6991
6,2,10,3,1833,0,1,191,14,6,19,1,114,62,104,6,16,21,194,125,57,7,10,8,5,4,4,43,5,85,91,13,6,38,21,221,71,19136,3,3,309,12,2496,31,600,120,0,2,1,59,2,111,1,27,12,12,3,148,230,7,7,2,2,13,38,1,185,313,77,12,302,26
561,2,1,1,40,0,0,20,3,7,450,1,331,116,3,0,3,5,0,146,1,11,25,196,13,2,2,84,60,29,2,23,9,7,19,12,112,4,3994,0,141,14,6,29,57,14,0,0,1,154,2,63,6,99,0,145,1,10,36,3,12,2,6,13,42,0,83,174,42,381,101,97
1,0,0,0,65,0,0,9,0,0,1,0,2,4,1,0,0,1,0,12,2,0,0,1,0,0,0,1,0,2,1,1,0,9,2,6,23,7,0,307,14,0,48,0,60,4,0,0,0,9,0,1,0,1,0,1,0,272,9,0,0,0,0,1,2,0,10,12,36,0,27,1
192,25,95,27,3149,23,18,858,123,70,460,33,5943,2704,400,36,114,320,31,2722,48,307,242,123,151,26,47,3223,193,8163,150,692,67,106,128,1108,748,311,147,19,738848,159,317,224,2394,21019,9,66,34,625,27,33089,69,1914,18,552,39,282,4335,159,58,55,92,178,5929,28,20180,96964,435,237,2730,391
247,4,71,5,93,39,16,26,148,86,123,61,451,91,8,22,79,251,0,69,1,88,44,13,35,2,892,102,1995,73,7,2865,15,9,22,25,139,15,37,0,269,22713,22,20,103,42,17,56,47,114,4,117,82,193,17,243,32,21,32,125,15,229,1093,7,82,30,98,242,35,52,117,266
4,2,5,1,2195,0,0,168,5,3,16,0,69,55,73,1,5,12,27,101,118,4,5,6,3,0,4,32,2,41,114,12,1,46,20,172,55,1259,4,24,173,7,9691,19,694,79,0,2,0,45,2,63,2,18,1,6,4,622,167,5,4,2,0,10,24,0,119,199,88,17,244,18
34,63,31,20,459,6,10,127,66,50,153,3,933,140,21,23,22,77,36,209,801,46,74,20,19,353,14,197,15,155,25,93,25,504,1437,85,1452,102,38,3,543,38,97,18504,421,176,2,13,17,406,388,282,6,245,22,108,29,117,132,50,111,10,16,5096,132,10,438,905,149,54,337,300
81,9,31,8,12662,8,7,28503,80,52,150,9,992,661,344,20,62,222,38,3927,167,112,49,535,23,17,30,221,53,169,392,286,14,232,124,1685,1123,587,131,106,1310,58,1120,221,159968,275,5,52,19,1730,21,270,8,176,13,121,13,2371,963,75,48,27,30,156,181,7,714,1004,11122,1590,40889,794
